Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-03-31,61.7786979675293,57.88765335083008,375.5,63.77085317683828,58.458083824910496,383.010009765625,61.2223536075195,56.630708544990256,366.44000244140625,62.09696014187927,57.2290415631662,367.92999267578125,197002000,65228000,9366500
2020-04-01,58.528079986572266,54.90596008300781,364.0799865722656,60.42548629953478,56.267027211100036,380.2300109863281,58.09563671171014,54.47701502016982,361.0199890136719,59.886146267819704,55.99700615531,376.04998779296875,176218400,51970000,6672500
2020-04-02,59.50472640991211,55.6497688293457,370.0799865722656,59.558174794508744,55.93573095399749,370.989990234375,57.55387149331358,54.45908540949232,360.05999755859375,58.38960582657782,54.80134294224164,364.0799865722656,165934000,56410000,4592500
2020-04-03,58.64956283569336,54.43765640258789,361.760009765625,59.691798977456195,55.73744511904495,370.8999938964844,58.05677432512775,53.55984186349984,357.510009765625,58.98725744365528,55.53418339732919,367.4700012207031,129880000,51374000,4860800
2020-04-06,63.7659912109375,58.94581604003906,379.9599914550781,63.92147268414862,59.32244906224932,380.2900085449219,60.58583124007948,56.04682503081574,361.7099914550781,60.95510622630932,56.44538175140231,365.2200012207031,201820400,63320000,8183900
2020-04-07,63.02743911743164,58.9144287109375,372.2799987792969,66.00838939615302,60.818529302753255,381.3299865722656,62.92297418292573,58.64988857565713,369.3399963378906,65.78973220321843,60.630706908970595,380.0,202887200,61620000,7046400
2020-04-08,64.6406021118164,60.132015228271484,371.1199951171875,64.95642874150907,60.52558895059071,378.3900146484375,63.464745123474984,58.98367788811864,368.30999755859375,63.83158830415397,59.937719869279775,374.010009765625,168895200,40334000,6908900
2020-04-09,65.10706329345703,60.110591888427734,370.7200012207031,65.61239487021291,60.87880693991357,372.1000061035156,64.3077766952038,59.40564692717376,363.0299987792969,65.2795602045284,60.688996669217964,371.05999755859375,161834800,54028000,7711300
2020-04-13,66.38494873046875,60.301902770996094,396.7200012207031,66.49427732074086,60.50666206471668,400.510009765625,64.58228739111088,58.90297462683948,367.70001220703125,65.1847957247921,59.858012475342434,371.30999755859375,131022800,38702000,11692900
2020-04-14,69.73760223388672,63.03300476074219,413.54998779296875,70.02914021517418,63.55710205404441,417.82000732421875,67.55108961658726,61.20512769663744,394.8500061035156,68.02483698264969,61.77456615054075,397.5,194994800,63358000,11581000
2020-04-15,69.1010971069336,62.63793182373047,426.75,69.56269281105895,63.52521443511321,434.9800109863281,68.17790569868288,61.477138918727164,412.25,68.60791725112617,62.100379324447886,413.0,131154400,42236000,13561200
2020-04-16,69.65015411376953,62.644405364990234,439.1700134277344,70.01700476078703,63.4380295511721,449.5199890136719,68.59576989662524,61.68638004984677,431.6099853515625,69.81778736213384,63.12815206658485,437.0,157125200,57896000,16128700
2020-04-17,68.70507049560547,63.71901321411133,422.9599914550781,69.71330151482101,64.26702585267132,432.0,67.26197182482458,63.071359495228606,414.70001220703125,69.16424162454373,63.85352392139879,431.0,215250000,51050000,12616300
2020-04-20,67.27898406982422,62.82973861694336,437.489990234375,68.43297671339393,63.610409325792794,444.489990234375,67.25955166646024,62.59508889587213,430.55999755859375,67.52679355095263,63.26516046997255,435.1700134277344,130015200,35292000,12655800
2020-04-21,65.19937133789062,60.38908386230469,433.8299865722656,67.35673149875346,62.27424820103494,447.0,64.48511000316932,60.03237526579768,425.6000061035156,67.12107374662952,61.91106664037472,444.7699890136719,180991600,49648000,23177600
2020-04-22,67.07733917236328,62.693233489990234,421.4200134277344,67.51463866177296,63.76285379905656,433.0,66.12985200256384,61.6365629106537,413.0,66.47239906793473,61.831356188881415,429.7300109863281,116862400,46296000,21084800
2020-04-23,66.81741333007812,63.32892990112305,426.70001220703125,68.45001014182691,64.17486620532053,438.4100036621094,66.77854109478402,62.79885375578141,419.260009765625,67.02148700478162,63.05841090344447,419.260009765625,124814400,34202000,13952300
2020-04-24,68.74637603759766,63.59944534301758,424.989990234375,68.7560959459344,63.654744905232555,427.1700134277344,67.29598925775215,61.97533190314895,415.8800048828125,67.3445813853182,62.523344521239075,425.0,126161200,37402000,8658900
2020-04-27,68.79498291015625,63.313480377197266,421.3800048828125,69.12781755437949,64.47128575857568,429.0,68.01269693902715,63.02452695217412,420.8399963378906,68.46214085181369,64.36666167637333,425.0,117087600,44186000,6277500
2020-04-28,67.67985534667969,61.40689468383789,403.8299865722656,69.44121285588518,64.00597037196816,421.0,67.58754214647125,61.29679347697088,402.9100036621094,69.25900345838117,63.92825679183895,419.989990234375,112004800,80700000,10101200
2020-04-29,69.9028091430664,66.8666000366211,411.8900146484375,70.37412466532922,67.76185314940159,415.8599853515625,68.9698980080844,66.0968912581043,393.6000061035156,69.17397162378809,67.00708958197549,399.5299987792969,137280800,108358000,9693100
2020-04-30,71.37749481201172,67.09178924560547,419.8500061035156,71.554847969106,67.25619418806347,424.44000244140625,70.0534442472492,65.83633815891375,408.0,70.44458354559235,66.3275613048283,410.30999755859375,183064000,55842000,7954000
2020-05-01,70.22835540771484,65.62808990478516,415.2699890136719,72.64080580783057,67.327435005306,427.9700012207031,69.44606951014269,65.24647767611364,411.7300109863281,69.54324636284784,65.9653682187632,415.1000061035156,240616800,48872000,8299900
